Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time,Model,Dataset Name,noise,models_y,Relation Type,Relation_binaire,Source 1 Attribute Count,Source 2 Attribute Count,Common Attribute Count,pourcentage_commun,Precision Median,Recall Median,F1 Score Median,ngcd_at_median,Precision (Top n%),Recall (Top n%),F1 Score (Top n%),ngcd_at_n,Precision (Top 2n%),Recall (Top 2n%),F1 Score (Top 2n%),ngcd_at_2n,F1 Score (Top 25),ngcd_at_25,F1 Score (Top 20),ngcd_at_20,F1 Score (Top 15),ngcd_at_15,F1 Score (Top 10),ngcd_at_10,F1 Score (Top 7),ngcd_at_7,F1 Score (Top 5),ngcd_at_5,Execution_Time_y
ChEMBL,View-Unionable,assays_both_0_70_ec_av,bert-base-uncased,0.6285714285714286,0.5789473684210527,0.6875,75.37231016159058,bert-base-uncased,assays_both_0_70_ec_av,1,bert-base-uncased,View-Unionable,No Semantically,19,20,16,82,0.53,0.62,0.57,0.66,0.5,0.5,0.5,0.55,0.44,0.5,0.47,0.75,0.44,0.62,0.44,0.55,,,,,,,,,75.37231016159058
ChEMBL,View-Unionable,assays_both_0_70_ec_av,distilbert-base-uncased,0.5714285714285714,0.5263157894736842,0.625,68.8754301071167,distilbert-base-uncased,assays_both_0_70_ec_av,1,distilbert-base-uncased,View-Unionable,No Semantically,19,20,16,82,0.68,0.81,0.74,0.79,0.31,0.31,0.31,0.41,0.41,0.31,0.35,0.69,0.33,0.56,0.33,0.49,,,,,,,,,68.8754301071167
ChEMBL,View-Unionable,assays_both_0_70_ec_av,sentence-transformers/all-MiniLM-L6-v2,0.6285714285714286,0.5789473684210527,0.6875,53.64998984336853,sentence-transformers/all-MiniLM-L6-v2,assays_both_0_70_ec_av,1,sentence-transformers/all-MiniLM-L6-v2,View-Unionable,No Semantically,19,20,16,82,0.63,0.75,0.69,0.81,0.56,0.56,0.56,0.67,0.41,0.56,0.47,0.81,0.44,0.67,0.5,0.67,,,,,,,,,53.64998984336853
ChEMBL,View-Unionable,assays_both_0_70_ec_av,albert-base-v2,0.6285714285714286,0.5789473684210527,0.6875,84.40923190116882,albert-base-v2,assays_both_0_70_ec_av,1,albert-base-v2,View-Unionable,No Semantically,19,20,16,82,0.63,0.75,0.69,0.8,0.44,0.44,0.44,0.58,0.34,0.44,0.38,0.72,0.39,0.66,0.44,0.66,,,,,,,,,84.40923190116882
ChEMBL,View-Unionable,assays_both_0_70_ec_av,facebook/bart-base,0.5714285714285714,0.5263157894736842,0.625,249.508052110672,facebook/bart-base,assays_both_0_70_ec_av,1,facebook/bart-base,View-Unionable,No Semantically,19,20,16,82,0.63,0.75,0.69,0.74,0.5,0.5,0.5,0.56,0.44,0.5,0.47,0.77,0.44,0.64,0.5,0.64,,,,,,,,,249.508052110672
ChEMBL,View-Unionable,assays_both_0_70_ec_av,gpt,0.6857142857142857,0.631578947368421,0.75,83.4339919090271,gpt,assays_both_0_70_ec_av,1,gpt,View-Unionable,No Semantically,19,20,16,82,0.68,0.81,0.74,0.86,0.5,0.5,0.5,0.65,0.41,0.5,0.45,0.82,0.44,0.72,0.47,0.69,,,,,,,,,83.4339919090271
ChEMBL,View-Unionable,assays_both_0_70_ec_av,roberta-base,0.5714285714285714,0.5263157894736842,0.625,93.23673605918884,roberta-base,assays_both_0_70_ec_av,1,roberta-base,View-Unionable,No Semantically,19,20,16,82,0.58,0.69,0.63,0.69,0.5,0.5,0.5,0.57,0.41,0.5,0.45,0.74,0.44,0.64,0.47,0.61,,,,,,,,,93.23673605918884
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,bert-base-uncased,0.6857142857142857,0.631578947368421,0.75,84.03691601753235,bert-base-uncased,assays_both_0_70_ac3_ev,4,bert-base-uncased,View-Unionable,No Semantically,19,20,16,82,0.63,0.75,0.69,0.81,0.56,0.56,0.56,0.67,0.41,0.56,0.47,0.82,0.52,0.78,0.53,0.71,,,,,,,,,84.03691601753235
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,distilbert-base-uncased,0.742857142857143,0.6842105263157895,0.8125,74.43742370605469,distilbert-base-uncased,assays_both_0_70_ac3_ev,4,distilbert-base-uncased,View-Unionable,No Semantically,19,20,16,82,0.63,0.75,0.69,0.81,0.56,0.56,0.56,0.69,0.38,0.56,0.45,0.79,0.52,0.79,0.53,0.72,,,,,,,,,74.43742370605469
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,sentence-transformers/all-MiniLM-L6-v2,0.6857142857142857,0.631578947368421,0.75,55.67994976043701,sentence-transformers/all-MiniLM-L6-v2,assays_both_0_70_ac3_ev,4,sentence-transformers/all-MiniLM-L6-v2,View-Unionable,No Semantically,19,20,16,82,0.68,0.81,0.74,0.86,0.56,0.56,0.56,0.7,0.41,0.56,0.47,0.84,0.49,0.77,0.56,0.77,,,,,,,,,55.67994976043701
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,albert-base-v2,0.6285714285714286,0.5789473684210527,0.6875,86.86484098434448,albert-base-v2,assays_both_0_70_ac3_ev,4,albert-base-v2,View-Unionable,No Semantically,19,20,16,82,0.58,0.69,0.63,0.75,0.5,0.5,0.5,0.63,0.38,0.5,0.43,0.77,0.44,0.7,0.44,0.63,,,,,,,,,86.86484098434448
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,facebook/bart-base,0.5142857142857142,0.4736842105263157,0.5625,273.10107588768005,facebook/bart-base,assays_both_0_70_ac3_ev,4,facebook/bart-base,View-Unionable,No Semantically,19,20,16,82,0.74,0.88,0.8,0.9,0.56,0.56,0.56,0.67,0.41,0.56,0.47,0.82,0.49,0.75,0.56,0.75,,,,,,,,,273.10107588768005
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,gpt,0.8571428571428572,0.7894736842105263,0.9375,88.98760795593262,gpt,assays_both_0_70_ac3_ev,4,gpt,View-Unionable,No Semantically,19,20,16,82,0.68,0.81,0.74,0.87,0.69,0.69,0.69,0.79,0.41,0.69,0.51,0.86,0.59,0.86,0.64,0.83,,,,,,,,,88.98760795593262
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,roberta-base,0.8571428571428572,0.7894736842105263,0.9375,106.61015605926514,roberta-base,assays_both_0_70_ac3_ev,4,roberta-base,View-Unionable,No Semantically,19,20,16,82,0.68,0.81,0.74,0.87,0.62,0.62,0.62,0.72,0.44,0.62,0.51,0.86,0.54,0.79,0.56,0.72,,,,,,,,,106.61015605926514
